weather_id,city_id,date_time,local_time,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds_all,weather_main,weather_description,weather_icon,sunrise,sunset
756,33,2025-06-26 06:19:00,2025-06-26 06:19:00,18.32,18.32,17.25,18.99,1010,81,10000,6.69,240,75,Clouds,broken clouds,04d,2025-06-26 03:45:00,2025-06-26 20:22:00
757,44,2025-06-26 06:27:00,2025-06-26 01:27:00,28.54,31.59,26.6,29.43,1015,69,10000,4.92,37,75,Clouds,broken clouds,04n,2025-06-26 09:26:00,2025-06-27 00:31:00
758,56,2025-06-26 06:27:00,2025-06-26 13:27:00,32.67,39.03,31.95,NaN,1009,61,10000,5.14,180,75,Clouds,broken clouds,04d,2025-06-25 23:02:00,2025-06-26 11:13:00
759,59,2025-06-26 06:18:00,2025-06-26 07:18:00,26.51,26.51,24.66,27.65,1016,61,10000,2.06,330,20,Clouds,few clouds,02d,2025-06-26 04:19:00,2025-06-26 19:29:00
760,65,2025-06-26 06:27:00,2025-06-26 15:27:00,13.42,12.18,12.44,14.38,1026,52,10000,8.23,210,0,Clear,clear sky,01d,2025-06-25 21:01:00,2025-06-26 06:55:00
761,1,2025-06-26 06:40:00,2025-06-26 14:40:00,30.78,35.9,28.75,32.03,1004,66,10000,10.29,200,75,Rain,light rain,10d,2025-06-25 19:27:00,2025-06-26 10:01:00
762,2,2025-06-26 06:54:00,2025-06-26 11:24:00,36.06,43.06,36.06,36.06,1001,52,5000,3.6,90,40,Haze,haze,50d,2025-06-25 23:55:00,2025-06-26 13:53:00
763,3,2025-06-26 06:54:00,2025-06-26 13:54:00,35.99,41.4,35.99,35.99,1006,46,10000,NaN,0,0,Clear,clear sky,01d,2025-06-25 20:52:00,2025-06-26 11:02:00
764,27,2025-06-26 06:54:00,2025-06-26 07:54:00,19.14,19.59,18.31,20.38,1014,95,10000,6.17,250,100,Rain,light rain,10d,2025-06-26 03:49:00,2025-06-26 19:58:00
765,30,2025-06-26 06:54:00,2025-06-26 14:54:00,22.88,23.52,22.88,23.86,1009,88,9000,4.12,240,75,Mist,mist,50d,2025-06-25 20:12:00,2025-06-26 10:57:00
766,33,2025-06-26 06:47:00,2025-06-26 06:47:00,18.91,18.95,17.98,19.52,1010,80,10000,6.17,240,75,Clouds,broken clouds,04d,2025-06-26 03:45:00,2025-06-26 20:22:00
767,44,2025-06-26 06:54:00,2025-06-26 01:54:00,28.41,31.18,26.6,29.43,1015,68,10000,6.26,43,75,Clouds,broken clouds,04n,2025-06-26 09:26:00,2025-06-27 00:31:00
768,56,2025-06-26 06:54:00,2025-06-26 13:54:00,32.66,38.66,31.95,NaN,1008,60,10000,5.14,180,75,Clouds,broken clouds,04d,2025-06-25 23:02:00,2025-06-26 11:13:00
769,59,2025-06-26 06:54:00,2025-06-26 07:54:00,26.92,27.91,25.77,28.21,1017,59,10000,3.09,310,20,Clouds,few clouds,02d,2025-06-26 04:19:00,2025-06-26 19:29:00
770,65,2025-06-26 06:54:00,2025-06-26 15:54:00,12.93,11.69,11.88,13.61,1027,54,10000,7.2,200,40,Clouds,scattered clouds,03d,2025-06-25 21:01:00,2025-06-26 06:55:00
771,1,2025-06-26 11:44:00,2025-06-26 19:44:00,26.73,29.64,26.25,27.11,1006,86,10000,7.2,210,75,Rain,light intensity shower rain,09n,2025-06-25 19:27:00,2025-06-26 10:01:00
772,2,2025-06-26 11:54:00,2025-06-26 16:24:00,35.06,41.63,35.06,35.06,998,52,5000,5.14,90,75,Haze,haze,50d,2025-06-25 23:55:00,2025-06-26 13:53:00
773,3,2025-06-26 11:54:00,2025-06-26 18:54:00,31.99,37.67,31.99,31.99,1007,62,10000,NaN,160,0,Clear,clear sky,01n,2025-06-25 20:52:00,2025-06-26 11:02:00
774,27,2025-06-26 11:43:00,2025-06-26 12:43:00,25.39,25.63,23.96,26.23,1017,63,10000,5.66,240,40,Clouds,scattered clouds,03d,2025-06-26 03:49:00,2025-06-26 19:58:00
775,30,2025-06-26 11:49:00,2025-06-26 19:49:00,22.88,23.52,22.86,22.88,1009,88,10000,2.57,260,75,Clouds,broken clouds,04n,2025-06-25 20:12:00,2025-06-26 10:57:00
776,33,2025-06-26 11:45:00,2025-06-26 11:45:00,22.36,22.51,21.35,23.28,1011,71,10000,6.69,230,100,Clouds,overcast clouds,04d,2025-06-26 03:45:00,2025-06-26 20:22:00
777,44,2025-06-26 11:54:00,2025-06-26 06:54:00,25.67,26.22,24.37,26.94,1017,74,10000,11.18,49,75,Clouds,broken clouds,04d,2025-06-26 09:26:00,2025-06-27 00:31:00
